new-made	nový
newcomer	nováčik
newcomer	prichádzajúci
newcomer	prišelec
newly	nanovo
newly	znova
newly	opäť
newly	nedávno
news	správa
news	správy
news	novina
news	novinka
news	novinky
news	novosť
news	novosti
news	noviny
news	zvesť
news	zvesti
news	novinový
news	tlačový
newsmonger	klebetník
newsmonger	klebetnica
newspaper	časopis
newspaper	novinový
newspaper	denník
newspaper	noviny
newsreel	aktuality
newsy	kamelot
newt	mlok
newton	newton
next	nasledujúci
next	ďalej
next	susedný
next	vedľajší
next	vedľa
next	pri
next	druhý
next	nabudúce
next	potom
next	ešte
next	blízko
next	na
next	susedná
next	susedné
next	následný
next	najbližší
next	budúci
next	ďalší
next door	vedľa
nexus	súvislosť
nexus	pomer
nexus	zväzok
nexus	vzťah
nexus	nexus
nexus	spojitosť
niacin	niacín
nib	pero
nib	pierko
nib	koniec
nib	hrot
nib	zobák
nib	uzol
nib	výstupok
nib	nos
nib	zahrotiť
nibble	ohrýzanie
nibble	zaberanie
nibble	obhrýzať
nibble	okusovanie
nibble	obhryzenie
nibble	kúsok
nibble	trocha
nibble	obhrýzť
nibble	zahrýzť
nibble	zabrať
nibble	zaberať
nibble	štvorbitový
nibble	štvorbit
nice	milý
nice	pekný
nice	príjemný
nice	dobrý
nice	vľúdny
nice	láskavý
nice	jemný
nice	bystrý
nice	dôkladný
nice	svedomitý
nice	rozkošný
nice	priateľský
nice	roztomilý
nice	slušný
nice	čistý
nice	charakterný
nice	ohľaduplný
nice	zhovievavý
nice	prívetivý
nice	priaznivý
nice	zlatý
nice	prieberčivý
nice	úzkostlivý
nice	podarený
nice	kultivovaný
nice	elegantný
nice	vkusný
nice	vhodný
nice	presný
nice	precízny
nice	delikátny
nice	chúlostivý
nice	chutný
nice	pozorný
nice	pekná
nice	pekné
nicely	pekne
nicely	dobre
nicely	úplne
nicely	celkom
nicely	práve
nicely	výborne
niceness	presnosť
niceness	detailnosť
niceness	puntičkárstvo
niceness	delikátnosť
niceness	útlocitnosť
nicety	príjemnosť
nicety	presnosť
nicety	detailnosť
nicety	jednotlivosti
nicety	puntičkárstvo
nicety	útlocit
nicety	jemnosť
nicety	delikátnosť
nicety	vyberavosť
nicety	chúlostivosť
nicety	prieberčivosť
nicety	finesa
niche	výklenok
niche	miesto
niche	útočište
niche	schovať
niche	nika
nick	zásek
nick	zárez
nick	vrub
nick	hod
nick	vrh
nick	porezanie
nick	vryp
nick	zub
nick	vrubľovať
nick	zarezať
nick	vylomiť
nick	poškriabať
nick	porezať
nick	uchopiť
nick	chytiť
nick	uhádnuť
nickel	niklová
nickel	niklové
nickel	nikel
nickel	niklovanie
nickel	poniklovanie
nickel	nikličitý
nickel	niklový
nickel	poniklovať
nickname	zdrobnenina
nickname	prezývať
nickname	prezývka
nickname	priezvisko
nicotine	nikotín
niece	neter
niggard	skupáň
niggard	lakomec
niggard	skúpy
niggard	lakomý
niggardly	skúpy
niggardly	lakomý
niggardly	skromný
niggardly	skúpo
niggardly	skromne
nigh	blízky
nigh	blízko
nigh	vedľa
nigh	pri
night	noc
night	večer
night	súmrak
night	šero
night	tma
night	temnota
night	nočná
night	nočné
night	večerný
night	večerná
night	večerné
night	nočný
nightfall	súmrak
nightfall	večer
nightingale	slávik
